Flow IAT Mean,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Packet Length Max,Average Packet Size,Packet Length Std,Total Length of Fwd Packet,Packet Length Mean,Idle Mean,Label
69.0,39096,46336,1405.0,1405.0,811.1771282114241,1405.0,936.6666666666669,100000,BitTorrent
42.0,40544,50680,93.0,93.0,53.6935750346352,93.0,62.0,100000,BitTorrent
35.0,39096,47784,66.0,66.0,38.1051177665153,66.0,44.0,100000,BitTorrent
15.0,39096,47784,66.0,66.0,38.1051177665153,66.0,44.0,100000,BitTorrent
40.0,40544,50680,93.0,93.0,53.6935750346352,93.0,62.0,100000,BitTorrent
44.0,5792,5792,0.0,2.6,5.307227776030219,0.0,2.166666666666667,16492,FTP
44.0,15928,20272,24.0,24.0,13.856406460551018,24.0,16.0,100000,FTP
25.0,15928,18824,54.0,54.0,31.176914536239792,54.0,36.0,100000,FTP
14.0,24616,20272,6.0,6.0,3.4641016151377544,6.0,4.0,100000,FTP
61.0,14480,13032,9.0,9.0,5.196152422706632,9.0,6.0,100000,FTP
16.0,65535,65535,0.0,0.0,0.0,0.0,0.0,100000,Gmail
169.0,30408,30408,923.0,923.0,532.8942984620246,923.0,615.3333333333333,100000,Gmail
58.0,30408,30408,923.0,923.0,532.8942984620246,923.0,615.3333333333333,100000,Gmail
40.0,65535,65535,0.0,0.0,0.0,0.0,0.0,100000,Gmail
101.0,30408,31856,1386.0,1386.0,800.2074730968213,1386.0,924.0,100000,Gmail
20.0,10136,10136,14.0,14.0,8.082903768654761,14.0,9.333333333333332,100000,MySQL
31.0,7240,7240,63.0,63.0,36.37306695894642,63.0,42.0,100000,MySQL
54.0,7240,8688,11.0,11.0,6.350852961085883,11.0,7.333333333333334,100000,MySQL
17.0,0,0,38.0,65.0,9.237604307034012,38.0,43.333333333333336,100000,MySQL
37.0,10136,11584,11.0,11.0,6.350852961085883,11.0,7.333333333333334,100000,MySQL
161.0,23168,65535,1405.0,1405.0,811.1771282114241,1405.0,936.6666666666669,100000,Outlook
62.0,23168,65535,1405.0,1405.0,811.1771282114241,1405.0,936.6666666666669,100000,Outlook
148.0,23168,65535,1405.0,1405.0,811.1771282114241,1405.0,936.6666666666669,100000,Outlook
157.0,23168,65535,1405.0,1405.0,811.1771282114241,1405.0,936.6666666666669,100000,Outlook
26.0,23168,65535,1405.0,1405.0,811.1771282114241,1405.0,936.6666666666669,100000,Outlook
11.789473684210526,18824,65160,1448.0,1321.55,480.0417144572412,24983.0,1258.6190476190473,18612,SMB
12.656249999999998,18824,65160,1448.0,1448.0,248.3299512863528,46336.0,1405.4117647058824,18393,SMB
30.848484848484848,18824,65160,1448.0,1373.6176470588234,380.0181176574337,45255.0,1334.3714285714284,18655,SMB
24.9375,18824,65160,1448.0,1448.0,248.3299512863528,46336.0,1405.4117647058824,18393,SMB
177.0,17376,17376,139.0,139.0,80.25168741735799,139.0,92.66666666666666,100000,SMB
141297.0,18824,18824,634.0,634.0,366.04007066622273,634.0,422.6666666666666,100000,Skype
34903.0,18824,20272,134.0,134.0,77.36493607140984,134.0,89.33333333333334,100000,Skype
6191.0,18824,18824,634.0,634.0,366.04007066622273,634.0,422.6666666666666,100000,Skype
47744.0,18824,18824,634.0,634.0,366.04007066622273,634.0,422.6666666666666,100000,Skype
149916.0,18824,20272,134.0,134.0,77.36493607140984,134.0,89.33333333333334,100000,Skype
41.875,8688,65160,1448.0,1448.0,248.3299512863528,46336.0,1405.4117647058824,18525,Weibo
27.218750000000004,8688,65160,1448.0,1448.0,248.3299512863528,46336.0,1405.4117647058824,16907,Weibo
20.454545454545453,8688,65160,1448.0,1373.6176470588234,380.0181176574338,45255.0,1334.3714285714286,16957,Weibo
32.303030303030305,8688,65160,1448.0,1373.6176470588234,380.0181176574338,45255.0,1334.3714285714284,18567,Weibo
34.57575757575757,8688,65160,1448.0,1373.6176470588234,380.0181176574337,45255.0,1334.3714285714284,18567,Weibo
11.0,10136,10136,0.0,0.0,0.0,0.0,0.0,100000,WorldOfWarcraft
15.0,10136,10136,0.0,0.0,0.0,0.0,0.0,100000,WorldOfWarcraft
9.0,10136,10136,0.0,0.0,0.0,0.0,0.0,100000,WorldOfWarcraft
40.4,5792,10136,75.0,29.0625,54.050833916405246,122.0,27.352941176470587,0,WorldOfWarcraft
40.266666666666666,5792,10136,75.0,27.6875,49.655652483170655,124.0,26.058823529411764,0,WorldOfWarcraft
